id,label,speech_text,category_id,category,category_colour,category_hex,aliases,priority,enabled,sort_order,emoji
core_social-yes,Oui,Oui,core_social,Social,Yellow,#F4D35E,,standard,True,1,✅
core_social-no,Non,Non,core_social,Social,Yellow,#F4D35E,,standard,True,2,❌
core_social-please,S'il te plaît,S'il te plaît,core_social,Social,Yellow,#F4D35E,,standard,True,3,🙏
core_social-thank-you,Merci,Merci,core_social,Social,Yellow,#F4D35E,,standard,True,4,🙌
core_social-i-understand,Je comprends,Je comprends,core_social,Social,Yellow,#F4D35E,,standard,True,5,💡
core_social-i-dont-understand,Je ne comprends pas,Je ne comprends pas,core_social,Social,Yellow,#F4D35E,,standard,True,6,❓
core_social-i-dont-know,Je ne sais pas,Je ne sais pas,core_social,Social,Yellow,#F4D35E,,standard,True,7,🤷
core_social-excuse-me,Excuse-moi,Excuse-moi,core_social,Social,Yellow,#F4D35E,,standard,True,8,🖐️
core_social-sorry,Désolé,Désolé,core_social,Social,Yellow,#F4D35E,,standard,True,9,😔
core_social-welcome,Bienvenue,Bienvenue,core_social,Social,Yellow,#F4D35E,,standard,True,10,🤗
core_social-good-morning,Bonjour,Bonjour,core_social,Social,Yellow,#F4D35E,,standard,True,11,🌅
core_social-good-night,Bonne nuit,Bonne nuit,core_social,Social,Yellow,#F4D35E,,standard,True,12,🌙
core_social-agree,D'accord,D'accord,core_social,Social,Yellow,#F4D35E,,standard,True,13,👍
core_social-disagree,Pas d'accord,Pas d'accord,core_social,Social,Yellow,#F4D35E,,standard,True,14,👎
core_social-me,Moi / Je,Moi,core_social,Social,Yellow,#F4D35E,Je,standard,True,15,🙋
core_social-you,Toi,Toi,core_social,Social,Yellow,#F4D35E,,standard,True,16,👉
core_social-we,Nous,Nous,core_social,Social,Yellow,#F4D35E,,standard,True,17,👥
core_social-family,Famille,Famille,core_social,Social,Yellow,#F4D35E,,standard,True,18,👨‍👩‍👧‍👦
core_social-friend,Ami,Ami,core_social,Social,Yellow,#F4D35E,,standard,True,19,🧑‍🤝‍🧑
core_social-teacher,Professeur / Personnel,Professeur,core_social,Social,Yellow,#F4D35E,Personnel,standard,True,20,🧑‍🏫
core_social-support-worker,Auxiliaire de vie,Auxiliaire de vie,core_social,Social,Yellow,#F4D35E,,standard,True,21,🤝
core_social-doctor,Médecin,Médecin,core_social,Social,Yellow,#F4D35E,,standard,True,22,🩺
core_social-hello,Bonjour / Salut,Bonjour,core_social,Social,Yellow,#F4D35E,Salut,standard,True,23,👋
core_social-goodbye,Au revoir / Salut,Au revoir,core_social,Social,Yellow,#F4D35E,Salut,standard,True,24,🚶
core_social-i-love-you,Je t'aime,Je t'aime,core_social,Social,Yellow,#F4D35E,,standard,True,25,❤️
core_social-good-job,Bien joué,Bien joué,core_social,Social,Yellow,#F4D35E,,standard,True,26,👏
core_social-proud,Fier,Fier,core_social,Social,Yellow,#F4D35E,,standard,True,27,🌟
core_social-turn-taking,Chacun son tour,Chacun son tour,core_social,Social,Yellow,#F4D35E,,standard,True,28,🔄
core_social-my-turn,Mon tour,Mon tour,core_social,Social,Yellow,#F4D35E,,standard,True,29,☝️
core_social-your-turn,Ton tour,Ton tour,core_social,Social,Yellow,#F4D35E,,standard,True,30,👆
core_social-share,Partager,Partager,core_social,Social,Yellow,#F4D35E,,standard,True,31,🤲
core_social-wait-for-me,Attends-moi,Attends-moi,core_social,Social,Yellow,#F4D35E,,standard,True,32,⏳
actions_requests-want,Je veux,Je veux,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,33,🙋
actions_requests-dont-want,Je ne veux pas,Je ne veux pas,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,34,🙅
actions_requests-help,Aide,Aide,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,35,🆘
actions_requests-stop,Stop,Stop,actions_requests,Actions et demandes,Green,#7BC47F,,urgent,True,36,🛑
actions_requests-wait,Attends,Attends,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,37,⏳
actions_requests-go,Vas-y,Vas-y,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,38,🟢
actions_requests-come-here,Viens ici,Viens ici,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,39,👋
actions_requests-more,Encore,Encore,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,40,➕
actions_requests-finished,Fini / Terminé,Fini,actions_requests,Actions et demandes,Green,#7BC47F,Terminé,standard,True,41,🏁
actions_requests-keep-going,Continue,Continue,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,42,▶️
actions_requests-slow-down,Ralentis,Ralentis,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,43,🐢
actions_requests-speed-up,Accélère,Accélère,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,44,🐇
actions_requests-eat,Manger,Manger,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,45,🍽️
actions_requests-drink,Boire,Boire,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,46,🥤
actions_requests-sit-down,Assieds-toi,Assieds-toi,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,47,🪑
actions_requests-stand-up,Lève-toi,Lève-toi,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,48,🧍
actions_requests-play,Jouer,Jouer,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,49,🎲
actions_requests-listen,Écoute,Écoute,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,50,👂
actions_requests-look,Regarde,Regarde,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,51,👀
actions_requests-read,Lire,Lire,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,52,📖
actions_requests-watch,Regarder,Regarder,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,53,📺
actions_requests-walk,Marcher,Marcher,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,54,🚶
actions_requests-open,Ouvrir,Ouvrir,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,55,🔓
actions_requests-close,Fermer,Fermer,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,56,🔒
actions_requests-give-me,Donne-moi,Donne-moi,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,57,🤲
actions_requests-show-me,Montre-moi,Montre-moi,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,58,👁️
actions_requests-tell-me,Dis-moi,Dis-moi,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,59,🗣️
actions_requests-wash-hands,Laver les mains,Laver les mains,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,60,🧼
actions_requests-go-home,Rentrer à la maison,Rentrer à la maison,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,61,🏠
actions_requests-go-outside,Aller dehors,Aller dehors,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,62,🌳
actions_requests-change,Changer,Changer,actions_requests,Actions et demandes,Green,#7BC47F,,standard,True,63,🔁
physical_self_care-bathroom,Salle de bain / Toilettes,Salle de bain,physical_self_care,Besoins et soins,Blue,#72A7E0,Toilettes,standard,True,64,🚽
physical_self_care-water,Eau / Boisson,Eau,physical_self_care,Besoins et soins,Blue,#72A7E0,Boisson,standard,True,65,💧
physical_self_care-food,Nourriture,Nourriture,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,66,🍎
physical_self_care-hungry,Faim,Faim,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,67,😋
physical_self_care-thirsty,Soif,Soif,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,68,🥤
physical_self_care-full,Rassasié,Rassasié,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,69,🈵
physical_self_care-snack,Collation,Collation,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,70,🍪
physical_self_care-meal,Repas,Repas,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,71,🍽️
physical_self_care-breakfast,Petit-déjeuner,Petit-déjeuner,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,72,🥞
physical_self_care-lunch,Déjeuner,Déjeuner,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,73,🥪
physical_self_care-dinner,Dîner,Dîner,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,74,🍝
physical_self_care-medication,Médicament,Médicament,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,75,💊
physical_self_care-rest,Repos / Sommeil,Repos,physical_self_care,Besoins et soins,Blue,#72A7E0,Sommeil,standard,True,76,😌
physical_self_care-nap,Sieste,Sieste,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,77,😴
physical_self_care-shower,Douche / Bain,Douche,physical_self_care,Besoins et soins,Blue,#72A7E0,Bain,standard,True,78,🚿
physical_self_care-brush-teeth,Se brosser les dents,Se brosser les dents,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,79,🪥
physical_self_care-dress,S'habiller,S'habiller,physical_self_care,Besoins et soins,Blue,#72A7E0,Mettre les vêtements,standard,True,80,👕
physical_self_care-undress,Se déshabiller,Se déshabiller,physical_self_care,Besoins et soins,Blue,#72A7E0,Enlever les vêtements,standard,True,81,🧺
physical_self_care-shoes-on,Mettre les chaussures,Mettre les chaussures,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,82,👟
physical_self_care-shoes-off,Enlever les chaussures,Enlever les chaussures,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,83,🧦
physical_self_care-coat-on,Mettre le manteau,Mettre le manteau,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,84,🧥
physical_self_care-coat-off,Enlever le manteau,Enlever le manteau,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,85,☀️
physical_self_care-change-clothes,Changer de vêtements,Changer de vêtements,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,86,🔄
physical_self_care-nappy-change,Changer la couche,Changer la couche,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,87,🍼
physical_self_care-pad,Serviette / Tampon,Serviette,physical_self_care,Besoins et soins,Blue,#72A7E0,Tampon,standard,True,88,🩸
physical_self_care-tissues,Mouchoirs,Mouchoirs,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,89,🤧
physical_self_care-wipe-face,Essuyer le visage,Essuyer le visage,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,90,🧻
